country_code,country_name,gdp_rank,gdp,ease_of_doing_business
,,,,
ABW,Aruba,, .. ,
AFG,Afghanistan,109," 19,469 ",183
AGO,Angola,62," 89,633 ",182
ALB,Albania,124," 11,927 ",58
AND,Andorra,, .. ,
ARB,,,,
ARE,United Arab Emirates,30," 348,743 ",26
ARG,Argentina,21," 545,866 ",116
ARM,Armenia,130," 10,547 ",38
ASM,American Samoa,185, 641 ,
ATG,Antigua and Barbuda,172," 1,449 ",113
AUS,Australia,14," 1,204,616 ",15
AUT,Austria,28," 386,428 ",19
AZE,Azerbaijan,88," 37,848 ",65
BDI,Burundi,163," 3,007 ",157
BEL,Belgium,24," 466,366 ",42
BEN,Benin,137," 8,583 ",155
BFA,Burkina Faso,123," 12,115 ",146
BGD,Bangladesh,44," 221,415 ",176
BGR,Bulgaria,77," 52,395 ",39
BHR,Bahrain,94," 31,859 ",63
BHS,"Bahamas, The",135," 9,047 ",121
BIH,Bosnia and Herzegovina,111," 16,560 ",81
BLR,Belarus,80," 47,433 ",37
BLZ,Belize,168," 1,765 ",112
BMU,Bermuda,, .. ,
BOL,Bolivia,93," 33,806 ",149
BRA,Brazil,9," 1,796,187 ",123
BRB,Barbados,154," 4,588 ",117
BRN,Brunei Darussalam,125," 11,400 ",72
BTN,Bhutan,164," 2,237 ",73
BWA,Botswana,114," 15,275 ",71
CAF,Central African Republic,169," 1,756 ",185
CAN,Canada,10," 1,529,760 ",22
CEB,,,,
CHE,Switzerland,19," 659,827 ",31
CHI,Channel Islands,, .. ,
CHL,Chile,42," 247,028 ",57
CHN,China,2," 11,199,145 ",78
CIV,Côte d'Ivoire,91," 36,165 ",142
CMR,Cameroon,100," 24,204 ",166
COD,"Congo, Dem. Rep.",92," 34,999 ",184
COG,"Congo, Rep.",140," 7,834 ",177
COL,Colombia,41," 282,463 ",53
COM,Comoros,186, 617 ,153
CPV,Cabo Verde,171," 1,617 ",129
CRI,Costa Rica,74," 57,436 ",62
CSS,,,,
CUB,Cuba,64," 87,133 ",
CUW,Curaçao,, .. ,
CYM,Cayman Islands,, .. ,
CYP,Cyprus,107," 19,802 ",45
CZE,Czech Republic,48," 192,925 ",27
DEU,Germany,4," 3,466,757 ",17
DJI,Djibouti,170," 1,727 ",171
DMA,Dominica,187, 525 ,101
DNK,Denmark,34," 306,143 ",3
DOM,Dominican Republic,67," 71,584 ",103
DZA,Algeria,53," 156,080 ",156
EAP,,,,
EAR,,,,
EAS,East Asia & Pacific,,"22,477,425",
ECA,,,,
ECS,Europe & Central Asia,,"20,162,858",
ECU,Ecuador,59," 97,802 ",114
EGY,"Egypt, Arab Rep.",31," 336,297 ",122
EMU,,,,
ERI,Eritrea,, .. ,189
ESP,Spain,13," 1,232,088 ",32
EST,Estonia,101," 23,137 ",12
ETH,Ethiopia,66," 72,374 ",159
EUU,,,,
FCS,,,,
FIN,Finland,43," 236,785 ",13
FJI,Fiji,153," 4,632 ",97
FRA,France,6," 2,465,454 ",29
FRO,Faroe Islands,, .. ,
FSM,"Micronesia, Fed. Sts.",190, 322 ,151
GAB,Gabon,117," 14,214 ",164
GBR,United Kingdom,5," 2,618,886 ",7
GEO,Georgia,116," 14,333 ",16
GHA,Ghana,85," 42,690 ",108
GIB,Gibraltar,, .. ,
GIN,Guinea,148," 6,299 ",163
GMB,"Gambia, The",179, 965 ,145
GNB,Guinea-Bissau,177," 1,126 ",172
GNQ,Equatorial Guinea,132," 10,179 ",178
GRC,Greece,47," 194,559 ",61
GRD,Grenada,178," 1,016 ",138
GRL,Greenland,165," 2,220 ",
GTM,Guatemala,69," 68,763 ",88
GUM,Guam,150," 5,734 ",
GUY,Guyana,162," 3,446 ",124
HIC,High income,,"48,407,640",
HKG,"Hong Kong SAR, China",32," 320,912 ",4
HND,Honduras,102," 21,517 ",105
HPC,,,,
HRV,Croatia,78," 50,425 ",43
HTI,Haiti,139," 8,023 ",181
HUN,Hungary,56," 124,343 ",41
IBD,,,,
IBT,,,,
IDA,,,,
IDB,,,,
IDN,Indonesia,16," 932,259 ",91
IDX,,,,
IMN,Isle of Man,142," 7,428 ",
IND,India,7," 2,263,523 ",130
INX,,,,
IRL,Ireland,39," 294,054 ",18
IRN,"Iran, Islamic Rep.",27," 393,436 ",120
IRQ,Iraq,52," 171,489 ",165
ISL,Iceland,105," 20,047 ",20
ISR,Israel,33," 318,744 ",52
ITA,Italy,8," 1,849,970 ",50
JAM,Jamaica,119," 14,027 ",67
JOR,Jordan,87," 38,655 ",118
JPN,Japan,3," 4,939,384 ",34
KAZ,Kazakhstan,55," 133,657 ",35
KEN,Kenya,68," 70,529 ",92
KGZ,Kyrgyz Republic,147," 6,551 ",75
KHM,Cambodia,106," 20,017 ",131
KIR,Kiribati,193, 166 ,152
KNA,St. Kitts and Nevis,181, 917 ,134
KOR,"Korea, Rep.",11," 1,411,246 ",5
KWT,Kuwait,57," 114,041 ",102
LAC,,,,
LAO,Lao PDR,113," 15,903 ",139
LBN,Lebanon,79," 47,537 ",126
LBR,Liberia,167," 2,101 ",174
LBY,Libya,, .. ,188
LCA,St. Lucia,175," 1,379 ",86
LCN,Latin America & Caribbean,,"5,294,928",
LDC,,,,
LIC,Low income,,"405,501",
LIE,Liechtenstein,145," 6,664 ",
LKA,Sri Lanka,65," 81,322 ",110
LMC,Lower middle income,,"6,252,244",
LMY,,,,
LSO,Lesotho,166," 2,200 ",100
LTE,,,,
LTU,Lithuania,84," 42,739 ",21
LUX,Luxembourg,73," 59,948 ",59
LVA,Latvia,95," 27,677 ",14
MAC,"Macao SAR, China",82," 44,803 ",
MAF,St. Martin (French part),, .. ,
MAR,Morocco,58," 101,445 ",68
MCO,Monaco,, .. ,
MDA,Moldova,144," 6,750 ",44
MDG,Madagascar,133," 9,991 ",167
MDV,Maldives,161," 3,591 ",135
MEA,Middle East & North Africa,,"3,111,499",
MEX,Mexico,15," 1,045,998 ",47
MHL,Marshall Islands,192, 183 ,143
MIC,,,,
MKD,"Macedonia, FYR",129," 10,900 ",10
MLI,Mali,118," 14,045 ",141
MLT,Malta,128," 10,949 ",76
MMR,Myanmar,70," 67,430 ",170
MNA,,,,
MNE,Montenegro,156," 4,173 ",51
MNG,Mongolia,126," 11,160 ",64
MNP,Northern Mariana Islands,180, 922 ,
MOZ,Mozambique,127," 11,015 ",137
MRT,Mauritania,152," 4,635 ",160
MUS,Mauritius,122," 12,164 ",49
MWI,Malawi,151," 5,442 ",133
MYS,Malaysia,37," 296,359 ",23
NAC,North America,,"20,104,905",
NAM,Namibia,131," 10,267 ",108
NCL,New Caledonia,, .. ,
NER,Niger,141," 7,509 ",150
NGA,Nigeria,26," 405,083 ",169
NIC,Nicaragua,121," 13,231 ",127
NLD,Netherlands,18," 770,845 ",28
NOR,Norway,29," 370,557 ",6
NPL,Nepal,103," 21,144 ",107
NRU,Nauru,194, 102 ,
NZL,New Zealand,51," 185,017 ",1
OED,,,,
OMN,Oman,72," 66,293 ",66
OSS,,,,
PAK,Pakistan,40," 283,660 ",144
PAN,Panama,75," 55,188 ",70
PER,Peru,49," 192,094 ",54
PHL,Philippines,35," 304,905 ",99
PLW,Palau,191, 293 ,136
PNG,Papua New Guinea,110," 16,929 ",119
POL,Poland,23," 469,509 ",24
PRE,,,,
PRI,Puerto Rico,, .. ,55
PRK,"Korea, Dem. People's Rep.",, .. ,
PRT,Portugal,45," 204,565 ",25
PRY,Paraguay,96," 27,441 ",106
PSE,West Bank and Gaza,120," 13,397 ",140
PSS,,,,
PST,,,,
PYF,French Polynesia,, .. ,
QAT,Qatar,54," 152,469 ",83
ROU,Romania,50," 186,691 ",36
RUS,Russian Federation,12," 1,283,162 ",40
RWA,Rwanda,138," 8,376 ",56
SAS,South Asia,,"2,896,361",
SAU,Saudi Arabia,20," 646,438 ",94
SDN,Sudan,60," 95,584 ",168
SEN,Senegal,115," 14,765 ",147
SGP,Singapore,36," 296,966 ",2
SLB,Solomon Islands,176," 1,202 ",104
SLE,Sierra Leone,159," 3,669 ",148
SLV,El Salvador,98," 26,797 ",95
SMR,San Marino,, .. ,79
SOM,Somalia,149," 6,217 ",190
SRB,Serbia,89," 37,745 ",47
SSA,,,,
SSD,South Sudan,136," 9,015 ",186
SSF,Sub-Saharan Africa,,"1,498,001",
SST,,,,
STP,São Tomé and Principe,189, 351 ,162
SUR,Suriname,160," 3,621 ",158
SVK,Slovak Republic,63," 89,552 ",33
SVN,Slovenia,83," 43,991 ",30
SWE,Sweden,22," 511,000 ",9
SWZ,Swaziland,158," 3,727 ",111
SXM,Sint Maarten (Dutch part),, .. ,
SYC,Seychelles,174," 1,427 ",93
SYR,Syrian Arab Republic,, .. ,173
TCA,Turks and Caicos Islands,, .. ,
TCD,Chad,134," 9,601 ",180
TEA,,,,
TEC,,,,
TGO,Togo,155," 4,400 ",154
THA,Thailand,25," 406,840 ",46
TJK,Tajikistan,143," 6,952 ",128
TKM,Turkmenistan,90," 36,180 ",
TLA,,,,
TLS,Timor-Leste,173," 1,442 ",175
TMN,,,,
TON,Tonga,188, 395 ,85
TSA,,,,
TSS,,,,
TTO,Trinidad and Tobago,104," 20,989 ",96
TUN,Tunisia,86," 42,063 ",77
TUR,Turkey,17," 857,749 ",69
TUV,Tuvalu,195, 34 ,
TZA,Tanzania,81," 47,431 ",132
UGA,Uganda,99," 25,528 ",115
UKR,Ukraine,61," 93,270 ",80
UMC,Upper middle income,,"20,570,823",
URY,Uruguay,76," 52,420 ",90
USA,United States,1," 18,569,100 ",8
UZB,Uzbekistan,71," 67,220 ",87
VCT,St. Vincent and the Grenadines,184, 771 ,125
VEN,"Venezuela, RB",, .. ,187
VGB,British Virgin Islands,, .. ,
VIR,Virgin Islands (U.S.),157," 3,765 ",
VNM,Vietnam,46," 202,616 ",82
VUT,Vanuatu,183, 774 ,83
WLD,World,,"75,641,577",
WSM,Samoa,182, 786 ,89
XKX,Kosovo,146," 6,650 ",60
YEM,"Yemen, Rep.",97," 27,318 ",179
ZAF,South Africa,38," 294,841 ",74
ZMB,Zambia,108," 19,551 ",98
ZWE,Zimbabwe,112," 16,289 ",161
